Timestep 	 0 Neighbours 	 1 Neighbour  	 2 Neighbours  	 3 Neighbours  	 4 Neighbours 	 5 Neighbours 	 6 Neighbours 	 0 Fraction 	 1 Fraction  	 2 Fraction  	 3 Fraction  	 4 Fraction 	 5 Fraction 	 6 Fraction
1700 	 0 	 2 	 210 	 493 	 1071 	 1945 	 1900 	 0.0 	 0.0003558085749866572 	 0.037359900373599 	 0.08770681373421099 	 0.19053549190535493 	 0.3460238391745241 	 0.33801814623732435
1800 	 0 	 2 	 239 	 525 	 1175 	 2137 	 2117 	 0.0 	 0.0003228410008071025 	 0.03857949959644875 	 0.0847457627118644 	 0.18966908797417273 	 0.344955609362389 	 0.341727199354318
1900 	 0 	 6 	 256 	 597 	 1286 	 2351 	 2371 	 0.0 	 0.0008737439930100481 	 0.03727974370176205 	 0.08693752730449979 	 0.1872724625018203 	 0.3423620212611038 	 0.345274501237804
2000 	 0 	 7 	 292 	 679 	 1387 	 2576 	 2613 	 0.0 	 0.0009266613714588298 	 0.03865501720942547 	 0.08988615303150649 	 0.18361133174477098 	 0.34101138469684933 	 0.3459094519459889
2100 	 0 	 8 	 309 	 730 	 1520 	 2868 	 2833 	 0.0 	 0.0009675858732462506 	 0.03737300435413643 	 0.08829221093372036 	 0.18384131591678762 	 0.3468795355587808 	 0.3426463473633285
2200 	 0 	 5 	 309 	 818 	 1700 	 3089 	 3108 	 0.0 	 0.0005537711817477018 	 0.03422305903200797 	 0.09059696533392403 	 0.18828220179421862 	 0.3421198360837302 	 0.3442241665743715
2300 	 0 	 1 	 362 	 861 	 1852 	 3304 	 3383 	 0.0 	 0.00010242753252074157 	 0.03707876677250845 	 0.0881901055003585 	 0.1896957902284134 	 0.33842056744853016 	 0.34651234251766877
2400 	 0 	 9 	 383 	 930 	 1994 	 3513 	 3655 	 0.0 	 0.0008584509729111027 	 0.03653185806943914 	 0.08870660053414728 	 0.19019458222052651 	 0.33508202975963375 	 0.3486264784433422
2500 	 0 	 10 	 415 	 1021 	 2158 	 3759 	 3962 	 0.0 	 0.0008830022075055188 	 0.03664459161147903 	 0.09015452538631347 	 0.19055187637969095 	 0.3319205298013245 	 0.34984547461368654
2600 	 0 	 8 	 438 	 1080 	 2327 	 4038 	 4210 	 0.0 	 0.0006611023882323775 	 0.03619535575572267 	 0.08924882241137096 	 0.1922981571770928 	 0.33369143046029254 	 0.34790513180728866
